ovr rank,player,position,ktc_val
1,Bijan Robinson,RB,9998
2,Caleb Williams,QB,8610
3,Bryce Young,QB,8531
4,Marvin Harrison Jr.,WR,8033
5,C.J. Stroud,QB,7516
6,Jahmyr Gibbs,RB,7291
7,Jaxon Smith-Njigba,WR,6696
8,Quentin Johnston,WR,5619
9,Jordan Addison,WR,5494
10,TreVeyon Henderson,RB,5442
11,Brock Bowers,TE,4824
12,Drake Maye,QB,4449
13,Zach Evans,RB,4413
14,Quinn Ewers,QB,4396
15,Will Levis,QB,4368
16,Kayshon Boutte,WR,4062
17,Anthony Richardson,QB,3928
18,Sean Tucker,RB,3911
19,Michael Mayer,TE,3861
20,Josh Downs,WR,3811
21,Emeka Egbuka,WR,3609
22,Tank Bigsby,RB,3568
23,Nicholas Singleton,RB,3339
24,Blake Corum,RB,3337
25,Zach Charbonnet,RB,3305
26,Jalin Hyatt,WR,3202
27,Braelon Allen,RB,3015
28,Will Shipley,RB,2987
29,Xavier Worthy,WR,2916
30,Devon Achane,RB,2670
31,Donovan Edwards,RB,2271
32,Raheim Sanders,RB,1983
33,Zay Flowers,WR,1973
34,Marvin Mims Jr.,WR,1954
35,Darnell Washington,TE,1952
36,Kendall Milton,RB,1864
37,Rakim Jarrett,WR,1790
38,Ja'Corey Brooks,WR,1788
39,Jermaine Burton,WR,1701
40,Jase McClellan,RB,1698
41,Branson Robinson,RB,1696
