ovr rank,player,position,ktc_val,year,year rank
1,Bijan Robinson,RB,9984,23,1
2,Caleb Williams,QB,8888,24,1
3,Bryce Young,QB,8475,23,2
4,Marvin Harrison Jr.,WR,7903,24,2
5,C.J. Stroud,QB,7458,23,3
6,Jahmyr Gibbs,RB,6935,23,4
7,Jaxon Smith-Njigba,WR,6909,23,5
8,Jordan Addison,WR,5758,23,6
9,Drake Maye,QB,5432,24,3
10,Quentin Johnston,WR,5297,23,7
11,Brock Bowers,TE,5089,24,4
12,TreVeyon Henderson,RB,4750,24,5
13,Will Levi,QB,4641,24,6
14,Anthony Richardson,QB,4285,23,8
15,Michael Maye,TE,4265,24,7
16,Kayshon Boutte,WR,4223,23,9
17,Sean Tucker,RB,4134,23,10
18,Zach EvansM,RB,3976,24,8
19,Quinn Ewers,QB,3920,24,9
20,Tank Bigsby,RB,3783,23,11
21,Josh Downs,WR,3775,23,12
22,Emeka Egbuka,WR,3680,24,10
23,Zach CharbonnetU,RB,3513,24,11
24,Nicholas Singleton,RB,3210,24,12
25,Braelon Allen,RB,3090,24,13
26,Blake CorumM,RB,2938,24,14
27,Jalin HyattT,WR,2884,24,15
28,Will ShipleyC,RB,2760,24,16
29,Xavier Worthy,WR,2610,24,17
30,Devon AchaneT,RB,2603,24,18
31,Donovan EdwardsM,RB,2226,24,19
32,Marvin Mims Jr.O,WR,2213,24,20
33,Raheim Sanders,RB,2042,24,21
34,Zay Flower,WR,1995,24,22
35,Darnell Washington,TE,1887,23,13
36,Kendre Miller,RB,1847,24,23
37,Kendall Milton,RB,1836,24,24
38,Julian Fleming,WR,1750,24,25
39,Jermaine Burton,WR,1729,23,14
40,Jase McClellan,RB,1703,24,26
41,Rakim Jarret,WR,1701,24,27
42,Ja'Corey Brooks,WR,1689,24,28
